station_name,longitude,latitude
Third Avenue–138th Street station,-73.92722222222223,40.81083333333333
Third Avenue–149th Street station,-73.9177777777778,40.81611111111111
138th Street–Grand Concourse station,-73.93,40.81305555555555
149th Street–Grand Concourse station,-73.92750000000002,40.81805555555556
149th Street–Grand Concourse station,-73.92750000000002,40.81805555555556
161st Street–Yankee Stadium station,-73.92583333333334,40.828055555555565
161st Street–Yankee Stadium station,-73.92583333333334,40.828055555555565
167th Street station (IND Concourse Line),-73.9177777777778,40.834444444444436
167th Street station (IRT Jerome Avenue Line),-73.9213888888889,40.835555555555565
170th Street station (IND Concourse Line),-73.91361111111112,40.83888888888889
170th Street station (IRT Jerome Avenue Line),-73.9177777777778,40.84027777777778
174th Street station (IRT White Plains Road Line),-73.88805555555557,40.83694444444445
174th–175th Streets station,-73.91027777777778,40.845833333333346
176th Street station,-73.91166666666669,40.84861111111111
182nd–183rd Streets station,-73.9002777777778,40.85666666666667
183rd Street station (IRT Jerome Avenue Line),-73.9038888888889,40.85833333333333
219th Street station,-73.86305555555555,40.883055555555565
225th Street station,-73.86,40.888055555555546
231st Street station,-73.905,40.87888888888889
233rd Street station,-73.85694444444444,40.89305555555556
238th Street station,-73.90060833333334,40.88509722222222
Allerton Avenue station,-73.86694444444444,40.865
Baychester Avenue station,-73.83833333333331,40.87861111111111
Bedford Park Boulevard station,-73.8877777777778,40.8725
Bedford Park Boulevard–Lehman College station,-73.88972222222223,40.87361111111111
Bronx Park East station,-73.86805555555554,40.8488888888889
Brook Avenue station,-73.91944444444445,40.8075
Buhre Avenue station,-73.8322222222222,40.84694444444445
Burke Avenue station,-73.86694444444444,40.87111111111111
Burnside Avenue station,-73.9075,40.853611111111114
Castle Hill Avenue station,-73.85166666666666,40.83416666666667
Cypress Avenue station,-73.91444444444446,40.80555555555555
East 143rd Street–St. Mary's Street station,-73.90777777777778,40.80805555555556
East 149th Street station,-73.90416666666667,40.81222222222222
East 180th Street station,-73.8738888888889,40.84111111111111
Eastchester–Dyre Avenue station,-73.83055555555555,40.88916666666667
Elder Avenue station,-73.87916666666666,40.828611111111115
Fordham Road station (IND Concourse Line),-73.89722222222224,40.8625
Fordham Road station (IRT Jerome Avenue Line),-73.90111111111112,40.86277777777778
Freeman Street station,-73.89194444444446,40.83000000000001
Gun Hill Road station (IRT Dyre Avenue Line),-73.84583333333333,40.87027777777778
Gun Hill Road station (IRT White Plains Road Line),-73.86694444444444,40.876944444444455
Hunts Point Avenue station,-73.8916666666667,40.820555555555565
Intervale Avenue station,-73.89694444444446,40.821944444444455
Jackson Avenue station (IRT White Plains Road Line),-73.90805555555556,40.81638888888889
